"year","month","day","mode","route","peak","numerator","denominator"
2023,2,3,"Bus","1","PEAK",253,334
2023,2,3,"Bus","86","OFF_PEAK",339,447
2023,2,3,"Bus","86","PEAK",188,218
2023,2,4,"Bus","1","OFF_PEAK",1148,1503
2023,2,4,"Bus","86","OFF_PEAK",362,527
2023,2,5,"Bus","1","OFF_PEAK",954,1256
2023,2,5,"Bus","86","OFF_PEAK",199,350
2023,2,6,"Bus","1","OFF_PEAK",1032,1378
2023,2,6,"Bus","1","PEAK",293,418
2023,2,6,"Bus","86","OFF_PEAK",354,494
2023,2,6,"Bus","86","PEAK",197,261
2023,2,7,"Bus","1","OFF_PEAK",1043,1362
2023,2,7,"Bus","1","PEAK",350,439
2023,2,7,"Bus","86","OFF_PEAK",336,477
2023,2,7,"Bus","86","PEAK",192,269
2023,2,8,"Bus","1","OFF_PEAK",1027,1367
2023,2,8,"Bus","1","PEAK",294,377
2023,2,8,"Bus","86","OFF_PEAK",346,470
2023,2,8,"Bus","86","PEAK",175,257
2023,2,9,"Bus","1","OFF_PEAK",976,1291
2023,2,9,"Bus","1","PEAK",344,434
2023,2,9,"Bus","86","OFF_PEAK",332,486
2023,2,9,"Bus","86","PEAK",188,264
2023,2,10,"Bus","1","OFF_PEAK",751,1090
2023,2,10,"Bus","1","PEAK",262,344
2023,2,10,"Bus","86","OFF_PEAK",342,500
2023,2,10,"Bus","86","PEAK",219,295
2023,2,11,"Bus","1","OFF_PEAK",1336,1725
2023,2,11,"Bus","86","OFF_PEAK",333,528
2023,2,12,"Bus","1","OFF_PEAK",984,1310
2023,2,12,"Bus","86","OFF_PEAK",254,359
2023,2,13,"Bus","1","OFF_PEAK",918,1213
2023,2,13,"Bus","1","PEAK",260,365
2023,2,13,"Bus","86","OFF_PEAK",341,470
2023,2,13,"Bus","86","PEAK",174,240
2023,2,14,"Bus","1","OFF_PEAK",840,1127
2023,2,14,"Bus","1","PEAK",222,303
2023,2,14,"Bus","86","OFF_PEAK",324,464
2023,2,14,"Bus","86","PEAK",173,254
2023,2,15,"Bus","1","OFF_PEAK",832,1089
2023,2,15,"Bus","1","PEAK",200,277
2023,2,15,"Bus","86","OFF_PEAK",358,498
2023,2,15,"Bus","86","PEAK",231,295
2023,2,16,"Bus","1","OFF_PEAK",1046,1389
2023,2,16,"Bus","1","PEAK",369,505
2023,2,16,"Bus","86","OFF_PEAK",344,483
2023,2,16,"Bus","86","PEAK",213,259
2023,2,17,"Bus","1","OFF_PEAK",895,1257
2023,2,17,"Bus","1","PEAK",285,393
2023,2,17,"Bus","86","OFF_PEAK",355,489
2023,2,17,"Bus","86","PEAK",228,294
2023,2,18,"Bus","1","OFF_PEAK",1430,1897
2023,2,18,"Bus","86","OFF_PEAK",325,531
2023,2,19,"Bus","1","OFF_PEAK",1011,1345
2023,2,19,"Bus","86","OFF_PEAK",228,351
2023,2,20,"Bus","1","OFF_PEAK",1564,2014
2023,2,20,"Bus","86","OFF_PEAK",369,527
2023,2,21,"Bus","1","OFF_PEAK",1094,1507
2023,2,21,"Bus","1","PEAK",346,458
2023,2,21,"Bus","86","OFF_PEAK",362,486
2023,2,21,"Bus","86","PEAK",203,266
2023,2,22,"Bus","1","OFF_PEAK",974,1344
2023,2,22,"Bus","1","PEAK",239,337
2023,2,22,"Bus","86","OFF_PEAK",365,484
2023,2,22,"Bus","86","PEAK",202,264
2023,2,23,"Bus","1","OFF_PEAK",919,1184
2023,2,23,"Bus","1","PEAK",266,346
2023,2,23,"Bus","86","OFF_PEAK",313,447
2023,2,23,"Bus","86","PEAK",179,246
2023,2,24,"Bus","1","OFF_PEAK",823,1175
2023,2,24,"Bus","1","PEAK",141,194
2023,2,24,"Bus","86","OFF_PEAK",265,440
2023,2,24,"Bus","86","PEAK",140,225
2023,2,25,"Bus","1","OFF_PEAK",1408,1923
2023,2,25,"Bus","86","OFF_PEAK",354,527
2023,2,26,"Bus","1","OFF_PEAK",1072,1418
2023,2,26,"Bus","86","OFF_PEAK",232,342
2023,2,27,"Bus","1","OFF_PEAK",973,1234
2023,2,27,"Bus","1","PEAK",303,362
2023,2,27,"Bus","86","OFF_PEAK",388,498
2023,2,27,"Bus","86","PEAK",195,284
2023,2,28,"Bus","1","OFF_PEAK",964,1227
2023,2,28,"Bus","1","PEAK",323,401
2023,2,28,"Bus","86","OFF_PEAK",345,466
2023,2,28,"Bus","86","PEAK",207,264
2023,3,1,"Bus","1","OFF_PEAK",878,1234
2023,3,1,"Bus","1","PEAK",300,402
2023,3,1,"Bus","86","OFF_PEAK",314,485
