"year","month","day","mode","route","peak","numerator","denominator"
2023,1,23,"Rail","Green-D","OFF_PEAK",19719.853959234,24372.592738376
2023,1,23,"Rail","Green-D","PEAK",14152.091914205,18004.975756162
2023,1,23,"Rail","Red","OFF_PEAK",114438.868346493,126051.203169368
2023,1,23,"Rail","Red","PEAK",101049.282398812,111085.049880856
2023,1,24,"Rail","Green-D","OFF_PEAK",18354.884733382,24101.934451487
2023,1,24,"Rail","Green-D","PEAK",14118.561737073,17931.80565481
2023,1,24,"Rail","Red","OFF_PEAK",108923.810076508,124840.857167047
2023,1,24,"Rail","Red","PEAK",100043.133415446,114854.365812593
2023,1,25,"Rail","Green-D","OFF_PEAK",19204.74067095,24352.753059188
2023,1,25,"Rail","Green-D","PEAK",14239.419525816,18194.230601215
2023,1,25,"Rail","Red","OFF_PEAK",109487.243736212,125237.798387351
2023,1,25,"Rail","Red","PEAK",101510.450080569,110067.991396316
2023,1,26,"Rail","Green-D","OFF_PEAK",16745.709149466,21559.483631073
2023,1,26,"Rail","Green-D","PEAK",14684.984616657,18595.082136228
2023,1,26,"Rail","Red","OFF_PEAK",102367.871651908,121646.697431498
2023,1,26,"Rail","Red","PEAK",96015.021179316,116982.241928819
2023,1,27,"Rail","Green-D","OFF_PEAK",18439.811224878,24262.026506241
2023,1,27,"Rail","Green-D","PEAK",13527.886765388,17982.826087199
2023,1,27,"Rail","Red","OFF_PEAK",110434.097944565,125977.237612011
2023,1,27,"Rail","Red","PEAK",102974.676958005,113843.143910505
2023,1,28,"Rail","Green-D","OFF_PEAK",10254.408650024,16405.91352219
2023,1,28,"Rail","Red","OFF_PEAK",82727.316066718,91947.158368368
2023,1,29,"Rail","Green-D","OFF_PEAK",8266.825000716,13533.533861564
2023,1,29,"Rail","Red","OFF_PEAK",60433.593174401,66263.841396978
2023,1,30,"Rail","Green-D","OFF_PEAK",19329.284679927,23964.916192509
2023,1,30,"Rail","Green-D","PEAK",14821.9160446,18664.012337395
2023,1,30,"Rail","Red","OFF_PEAK",113958.977435113,127068.721868584
2023,1,30,"Rail","Red","PEAK",101474.781880771,112239.737664286
2023,1,31,"Rail","Green-D","OFF_PEAK",18985.745067393,24146.823118524
2023,1,31,"Rail","Green-D","PEAK",14245.89241626,18318.721057322
2023,1,31,"Rail","Red","OFF_PEAK",100736.062044161,117934.711659323
2023,1,31,"Rail","Red","PEAK",97675.149669677,116074.003826955
2023,2,1,"Rail","Green-D","OFF_PEAK",18930.865541614,23931.260268938
2023,2,1,"Rail","Green-D","PEAK",12881.833883541,17082.683667768
2023,2,1,"Rail","Red","OFF_PEAK",109699.527378709,125840.562374177
2023,2,1,"Rail","Red","PEAK",97520.61149366,111656.542830981
2023,2,2,"Rail","Green-D","OFF_PEAK",18165.417486816,22956.717192482
2023,2,2,"Rail","Green-D","PEAK",13058.302526082,17504.590221754
2023,2,2,"Rail","Red","OFF_PEAK",108701.051108741,127637.636814458
2023,2,2,"Rail","Red","PEAK",93499.025916732,114718.128629834
2023,2,3,"Rail","Green-D","OFF_PEAK",18218.373574653,23794.037091235
2023,2,3,"Rail","Green-D","PEAK",12925.16964768,17595.103258666
2023,2,3,"Rail","Red","OFF_PEAK",105533.3167417,125223.605915916
2023,2,3,"Rail","Red","PEAK",95641.158452707,109769.767519587
2023,2,4,"Rail","Green-D","OFF_PEAK",18479.271385107,26314.430996642
2023,2,4,"Rail","Red","OFF_PEAK",56872.859485209,73398.95129251
2023,2,5,"Rail","Green-D","OFF_PEAK",14356.962703674,18297.424983137
2023,2,5,"Rail","Red","OFF_PEAK",49997.767448862,57343.864264117
2023,2,6,"Rail","Green-D","OFF_PEAK",19277.384012201,24748.88333856
2023,2,6,"Rail","Green-D","PEAK",15027.726868344,19030.27183018
2023,2,6,"Rail","Red","OFF_PEAK",99936.481880006,116764.183602212
2023,2,6,"Rail","Red","PEAK",82050.858348464,97978.735098146
2023,2,7,"Rail","Green-D","OFF_PEAK",18507.400057363,23739.786278481
2023,2,7,"Rail","Green-D","PEAK",13630.279819205,17629.3928203
